user_id,event_date,sessions,session_minutes,api_calls,tokens,tools_used,failed_requests,successful_requests,agent_runs,ide_plugin_sessions,is_weekend,spend_usd
u-0001,2024-01-23,1,14.75,124,76340,8,4,120,5,2,0,0.32
u-0001,2024-01-24,2,24.77,233,118891,7,2,231,4,3,0,1.44
u-0001,2024-01-26,1,13.93,83,41155,5,0,83,2,2,0,0.28
u-0001,2024-01-27,1,11.77,143,53837,6,1,142,1,3,1,1.01
u-0001,2024-01-28,3,43.82,127,29834,6,2,125,5,6,1,0.15
u-0001,2024-01-30,2,28.0,69,14824,6,0,69,9,2,0,0.27
u-0001,2024-01-31,0,0.0,0,0,2,0,0,0,0,0,0.2
u-0001,2024-02-01,0,0.0,0,0,0,0,0,0,0,0,0.01
u-0001,2024-02-02,2,29.75,290,99328,6,1,289,5,7,0,0.51
u-0001,2024-02-03,0,0.0,0,0,1,0,0,0,0,1,0.05
u-0001,2024-02-04,1,16.5,144,52961,4,1,143,1,2,1,1.2
u-0001,2024-02-05,4,35.07,197,49945,9,2,195,11,5,0,0.81
u-0001,2024-02-08,0,0.0,0,0,0,0,0,0,0,0,0.27
u-0001,2024-02-09,0,0.0,0,0,0,0,0,0,0,0,0.4
u-0001,2024-02-11,0,0.0,0,0,0,0,0,0,0,1,0.06
u-0001,2024-02-12,2,26.95,257,24687,6,1,256,3,6,0,1.12
u-0001,2024-02-13,2,35.1,237,44079,6,1,236,6,5,0,0.6
u-0001,2024-02-15,3,37.08,328,200490,7,0,328,11,8,0,0.22
u-0001,2024-02-16,1,10.39,118,14189,6,1,117,1,3,0,0.62
u-0001,2024-02-17,0,0.0,0,0,0,0,0,0,0,1,0.31
u-0001,2024-02-18,0,0.0,0,0,0,0,0,0,0,1,0.38
u-0001,2024-02-19,3,28.69,75,7572,9,1,74,3,8,0,0.27
u-0001,2024-02-21,0,0.0,0,0,1,0,0,0,0,0,0.25
u-0001,2024-02-23,2,16.52,245,35918,7,1,244,8,3,0,1.17
u-0001,2024-02-24,1,16.62,46,13337,7,0,46,2,3,1,0.16
u-0001,2024-02-25,2,30.99,204,124440,11,3,201,2,7,1,0.88
u-0001,2024-02-26,0,0.0,0,0,1,0,0,0,0,0,0.34
u-0001,2024-02-27,2,31.41,84,21476,8,2,82,8,5,0,0.35
u-0001,2024-02-28,1,13.38,28,16969,7,2,26,4,3,0,0.09
u-0001,2024-02-29,0,0.0,0,0,0,0,0,0,0,0,0.25
u-0001,2024-03-01,1,9.63,41,14526,6,4,37,5,3,0,0.27
u-0001,2024-03-02,2,17.16,263,180652,8,0,263,5,1,1,1.96
u-0002,2024-01-23,1,14.98,124,42349,5,0,124,3,0,0,1.12
u-0002,2024-01-24,1,17.02,102,41340,6,1,101,4,1,0,0.05
u-0002,2024-01-26,0,0.0,0,0,2,0,0,0,0,0,0.21
u-0002,2024-01-27,1,11.53,51,17397,7,0,51,4,1,1,0.52
u-0002,2024-01-28,3,41.67,309,33817,7,4,305,10,10,1,0.25
u-0002,2024-01-29,1,17.77,124,46361,5,0,124,4,3,0,1.02
u-0002,2024-01-30,4,47.09,312,201433,6,2,310,11,13,0,2.24
u-0002,2024-01-31,1,15.15,124,17753,6,0,124,3,1,0,0.81
u-0002,2024-02-02,3,36.06,155,82582,11,3,152,11,5,0,0.3
u-0002,2024-02-03,0,0.0,0,0,1,0,0,0,0,1,0.21
u-0002,2024-02-05,0,0.0,0,0,0,0,0,0,0,0,0.09
u-0002,2024-02-06,3,26.65,278,177364,6,2,276,6,10,0,2.46
u-0002,2024-02-07,1,8.46,37,22861,7,2,35,4,1,0,0.46
u-0002,2024-02-08,0,0.0,0,0,1,0,0,0,0,0,0.16
u-0002,2024-02-09,2,16.68,251,83761,6,4,247,3,4,0,1.36
u-0002,2024-02-10,0,0.0,0,0,2,0,0,0,0,1,0.46
u-0002,2024-02-11,2,22.85,104,16886,6,2,102,5,2,1,0.22
u-0002,2024-02-12,1,8.56,105,21859,7,1,104,3,3,0,0.5
u-0002,2024-02-13,1,10.96,130,32448,7,2,128,3,2,0,0.88
u-0002,2024-02-15,0,0.0,0,0,2,0,0,0,0,0,0.12
u-0002,2024-02-16,0,0.0,0,0,2,0,0,0,0,0,0.05
u-0002,2024-02-17,0,0.0,0,0,0,0,0,0,0,1,0.23
u-0002,2024-02-20,2,23.96,142,16175,6,6,136,9,3,0,1.17
u-0002,2024-02-21,0,0.0,0,0,2,0,0,0,0,0,0.11
u-0002,2024-02-23,3,32.85,358,42090,9,0,358,11,5,0,4.44
u-0002,2024-02-25,3,33.81,278,136907,8,1,277,7,2,1,2.48
u-0002,2024-02-26,0,0.0,0,0,0,0,0,0,0,0,0.02
u-0002,2024-02-27,2,18.48,194,19393,5,1,193,5,1,0,0.68
u-0002,2024-02-29,0,0.0,0,0,1,0,0,0,0,0,0.27
u-0002,2024-03-01,1,17.47,116,56144,7,1,115,1,1,0,0.26
u-0003,2024-01-23,1,8.23,77,38123,8,2,75,2,0,0,0.0
u-0003,2024-01-25,2,20.17,155,78291,6,0,155,8,1,0,0.0
u-0003,2024-01-27,2,21.75,89,61285,8,1,88,5,4,1,0.0
u-0003,2024-01-28,1,10.47,68,32219,8,2,66,3,1,1,0.0
u-0003,2024-01-29,0,0.0,0,0,2,0,0,0,0,0,0.0
u-0003,2024-01-30,1,12.45,38,8459,7,0,38,4,0,0,0.0
u-0003,2024-01-31,0,0.0,0,0,0,0,0,0,0,0,0.0
u-0003,2024-02-01,1,8.45,32,8495,6,1,31,1,1,0,0.0
