user_id,event_date,sessions,session_minutes,api_calls,tokens,tools_used,failed_requests,successful_requests,agent_runs,ide_plugin_sessions,is_weekend,spend_usd
u-01,2024-01-22,2,24.67,94,55728,4,1,93,8,3,0,1.51
u-02,2024-01-22,3,35.65,201,97760,5,10,191,11,7,0,1.05
u-03,2024-01-22,1,11.47,39,10523,1,6,33,2,0,0,0.0
u-04,2024-01-22,5,56.92,531,372646,8,0,531,30,14,0,2.77
u-05,2024-01-22,5,38.9,974,627585,12,23,951,26,14,0,9.64
u-06,2024-01-22,2,32.39,92,48497,2,7,85,4,4,0,1.39
u-07,2024-01-22,1,9.51,48,26200,3,7,41,2,1,0,1.73
u-08,2024-01-22,2,16.95,93,49752,5,3,90,3,4,0,0.0
u-09,2024-01-22,1,6.95,22,4216,2,4,18,0,0,0,1.03
u-10,2024-01-22,4,50.32,991,634082,15,87,904,38,13,0,14.57
u-01,2024-01-23,3,44.27,192,124015,5,9,183,13,7,0,2.4
u-02,2024-01-23,3,34.42,226,145456,4,4,222,11,6,0,0.9
u-03,2024-01-23,0,0.0,0,0,1,0,0,0,0,0,0.0
u-04,2024-01-23,4,42.89,433,282421,7,13,420,18,16,0,2.71
u-05,2024-01-23,6,59.31,683,500144,12,39,644,34,13,0,22.92
u-06,2024-01-23,1,16.0,53,21934,3,3,50,2,2,0,1.01
u-07,2024-01-23,0,0.0,0,0,0,0,0,0,0,0,1.7
u-08,2024-01-23,2,21.34,71,51037,3,1,70,4,4,0,0.0
u-09,2024-01-23,0,0.0,0,0,1,0,0,0,0,0,0.7
u-10,2024-01-23,5,64.68,743,443423,13,10,733,33,32,0,28.53
u-01,2024-01-24,2,17.61,129,75350,4,7,122,6,5,0,2.01
u-02,2024-01-24,3,28.33,152,87648,2,0,152,8,6,0,0.92
u-03,2024-01-24,2,16.87,57,16663,1,6,51,3,0,0,0.0
u-04,2024-01-24,4,46.78,502,357511,6,11,491,13,12,0,1.47
u-05,2024-01-24,6,41.37,825,574215,14,8,817,56,29,0,17.56
u-06,2024-01-24,2,28.57,94,55812,2,4,90,7,3,0,1.05
u-07,2024-01-24,1,5.22,48,28423,2,6,42,2,1,0,1.2
u-08,2024-01-24,3,45.2,102,63514,5,2,100,7,8,0,0.0
u-09,2024-01-24,0,0.0,0,0,0,0,0,0,0,0,1.13
u-10,2024-01-24,4,48.13,921,509017,11,36,885,53,12,0,18.99
u-01,2024-01-25,2,35.98,134,102886,4,7,127,8,5,0,1.82
u-02,2024-01-25,4,45.89,188,127108,5,9,179,19,8,0,0.59
u-03,2024-01-25,1,15.95,29,7554,1,4,25,2,0,0,0.0
u-04,2024-01-25,5,43.22,378,229028,8,4,374,26,18,0,2.01
