payment_id,user_id,payment_date,status
p-00001,u-0001,2023-12-13,ok
p-00002,u-0001,2024-02-14,failed
p-00003,u-0002,2024-01-17,ok
p-00004,u-0005,2024-02-13,ok
p-00005,u-0007,2024-02-10,ok
p-00006,u-0008,2024-02-12,ok
p-00007,u-0008,2023-12-15,failed
p-00008,u-0009,2024-02-21,failed
p-00009,u-0009,2024-01-28,ok
p-00010,u-0009,2024-02-09,ok
p-00011,u-0009,2024-02-23,ok
p-00012,u-0010,2024-01-30,ok
p-00013,u-0010,2024-02-19,ok
p-00014,u-0010,2023-12-12,ok
p-00015,u-0010,2023-12-27,ok
p-00016,u-0013,2024-02-24,ok
p-00017,u-0013,2024-02-06,ok
p-00018,u-0015,2024-03-01,ok
p-00019,u-0015,2024-01-09,ok
p-00020,u-0015,2024-01-17,ok
p-00021,u-0015,2023-12-28,ok
p-00022,u-0017,2023-12-09,ok
p-00023,u-0017,2024-02-01,ok
p-00024,u-0017,2024-02-17,ok
p-00025,u-0018,2023-12-31,ok
p-00026,u-0018,2023-12-28,ok
p-00027,u-0018,2023-12-08,failed
p-00028,u-0019,2023-12-14,ok
p-00029,u-0019,2024-01-28,ok
p-00030,u-0019,2023-12-29,ok
p-00031,u-0019,2024-02-22,ok
p-00032,u-0020,2024-01-16,ok
p-00033,u-0020,2024-02-18,failed
p-00034,u-0020,2024-01-28,ok
p-00035,u-0021,2024-02-19,ok
p-00036,u-0023,2024-02-08,ok
p-00037,u-0023,2023-12-05,ok
p-00038,u-0023,2024-02-21,failed
p-00039,u-0023,2024-02-06,ok
p-00040,u-0024,2024-02-12,ok
p-00041,u-0024,2023-12-11,ok
p-00042,u-0024,2024-02-25,ok
p-00043,u-0025,2023-12-23,ok
p-00044,u-0025,2024-01-28,ok
p-00045,u-0025,2024-02-19,ok
p-00046,u-0026,2024-02-21,ok
p-00047,u-0026,2024-02-07,ok
p-00048,u-0029,2024-01-25,ok
p-00049,u-0029,2023-12-05,ok
p-00050,u-0031,2024-01-17,ok
p-00051,u-0032,2024-01-27,ok
p-00052,u-0032,2023-12-23,ok
p-00053,u-0032,2024-01-27,ok
p-00054,u-0033,2024-01-25,failed
p-00055,u-0033,2023-12-20,ok
p-00056,u-0033,2024-01-24,ok
p-00057,u-0036,2024-02-29,ok
p-00058,u-0036,2023-12-04,failed
p-00059,u-0037,2023-12-23,ok
p-00060,u-0038,2024-02-10,ok
p-00061,u-0038,2024-02-20,ok
p-00062,u-0038,2024-01-24,ok
p-00063,u-0040,2024-01-04,failed
p-00064,u-0040,2024-01-27,ok
p-00065,u-0041,2024-02-07,ok
p-00066,u-0041,2023-12-12,ok
p-00067,u-0041,2024-01-10,ok
p-00068,u-0041,2024-01-23,ok
p-00069,u-0042,2024-01-27,ok
p-00070,u-0042,2024-01-26,ok
p-00071,u-0042,2024-01-11,ok
p-00072,u-0042,2024-02-20,ok
p-00073,u-0043,2024-01-17,ok
p-00074,u-0043,2024-02-21,ok
p-00075,u-0044,2024-01-15,ok
p-00076,u-0044,2023-12-11,ok
p-00077,u-0044,2024-01-26,failed
p-00078,u-0044,2024-01-23,ok
p-00079,u-0045,2024-01-28,ok
p-00080,u-0045,2023-12-04,ok
p-00081,u-0045,2024-01-24,ok
p-00082,u-0045,2023-12-28,failed
p-00083,u-0046,2023-12-30,ok
p-00084,u-0046,2023-12-04,ok
p-00085,u-0046,2024-01-07,ok
p-00086,u-0047,2024-02-11,ok
p-00087,u-0047,2024-02-14,ok
p-00088,u-0047,2023-12-23,ok
p-00089,u-0048,2024-02-09,ok
p-00090,u-0048,2023-12-26,ok
p-00091,u-0049,2024-01-30,ok
p-00092,u-0049,2023-12-05,ok
p-00093,u-0049,2023-12-20,ok
p-00094,u-0049,2024-02-16,ok
p-00095,u-0051,2024-01-14,ok
p-00096,u-0052,2024-01-28,ok
p-00097,u-0052,2024-01-17,ok
p-00098,u-0053,2023-12-07,ok
p-00099,u-0053,2024-02-06,ok
p-00100,u-0054,2024-01-07,ok
p-00101,u-0055,2023-12-23,ok
p-00102,u-0055,2024-01-13,failed
p-00103,u-0055,2024-02-01,failed
p-00104,u-0055,2024-01-05,ok
p-00105,u-0056,2024-01-27,ok
p-00106,u-0057,2023-12-10,ok
p-00107,u-0057,2024-01-06,failed
p-00108,u-0059,2024-01-16,ok
p-00109,u-0059,2023-12-09,ok
p-00110,u-0059,2024-02-28,ok
p-00111,u-0059,2024-02-23,ok
p-00112,u-0060,2023-12-29,failed
p-00113,u-0060,2024-01-05,ok
p-00114,u-0060,2023-12-25,ok
p-00115,u-0061,2024-01-19,ok
p-00116,u-0061,2023-12-21,ok
p-00117,u-0064,2023-12-20,ok
p-00118,u-0064,2024-02-14,ok
p-00119,u-0067,2024-02-16,failed
p-00120,u-0067,2024-01-15,ok
p-00121,u-0068,2023-12-19,ok
p-00122,u-0068,2024-01-10,ok
p-00123,u-0068,2023-12-31,ok
p-00124,u-0068,2024-01-04,ok
p-00125,u-0069,2023-12-26,ok
p-00126,u-0069,2024-01-26,ok
p-00127,u-0069,2024-02-16,ok
p-00128,u-0071,2024-02-14,failed
p-00129,u-0071,2023-12-05,failed
p-00130,u-0072,2023-12-27,ok
p-00131,u-0072,2023-12-26,ok
p-00132,u-0073,2023-12-16,ok
p-00133,u-0073,2024-01-07,ok
p-00134,u-0073,2024-01-11,ok
p-00135,u-0075,2024-02-10,ok
p-00136,u-0075,2024-02-15,ok
p-00137,u-0075,2024-03-01,ok
p-00138,u-0076,2024-02-29,ok
p-00139,u-0078,2023-12-08,ok
p-00140,u-0078,2023-12-18,ok
p-00141,u-0078,2024-02-14,ok
p-00142,u-0078,2024-01-04,ok
p-00143,u-0079,2023-12-19,ok
p-00144,u-0079,2024-02-09,ok
p-00145,u-0080,2023-12-15,ok
p-00146,u-0080,2024-02-03,ok
p-00147,u-0080,2024-01-22,ok
p-00148,u-0081,2023-12-11,ok
p-00149,u-0081,2023-12-12,ok
p-00150,u-0083,2023-12-09,ok
p-00151,u-0084,2024-02-14,ok
p-00152,u-0084,2024-02-27,ok
p-00153,u-0084,2023-12-25,ok
p-00154,u-0084,2024-01-04,ok
p-00155,u-0088,2024-02-18,ok
p-00156,u-0091,2024-01-18,ok
p-00157,u-0091,2024-01-29,ok
p-00158,u-0091,2023-12-17,failed
p-00159,u-0092,2023-12-04,failed
p-00160,u-0092,2023-12-13,ok
p-00161,u-0093,2023-12-17,ok
p-00162,u-0094,2023-12-05,ok
p-00163,u-0094,2024-02-21,ok
p-00164,u-0094,2024-02-23,ok
p-00165,u-0094,2023-12-23,ok
p-00166,u-0096,2024-01-20,ok
p-00167,u-0096,2024-01-07,ok
p-00168,u-0096,2023-12-17,ok
p-00169,u-0097,2023-12-23,ok
p-00170,u-0097,2023-12-20,ok
p-00171,u-0097,2024-01-06,ok
p-00172,u-0099,2023-12-27,ok
p-00173,u-0100,2024-01-03,ok
p-00174,u-0100,2024-03-01,ok
p-00175,u-0104,2023-12-06,ok
p-00176,u-0106,2024-02-11,ok
p-00177,u-0106,2024-01-02,ok
p-00178,u-0106,2024-02-12,ok
p-00179,u-0108,2023-12-25,failed
p-00180,u-0108,2023-12-22,ok
p-00181,u-0108,2023-12-21,failed
p-00182,u-0109,2023-12-13,ok
p-00183,u-0112,2024-02-14,ok
p-00184,u-0115,2023-12-26,ok
p-00185,u-0116,2024-02-29,failed
p-00186,u-0117,2024-01-17,ok
p-00187,u-0118,2024-01-30,ok
p-00188,u-0118,2024-02-24,failed
p-00189,u-0118,2024-01-29,ok
p-00190,u-0119,2024-02-02,failed
p-00191,u-0119,2023-12-25,ok
p-00192,u-0119,2024-01-16,ok
p-00193,u-0119,2024-01-27,ok
p-00194,u-0120,2024-01-06,ok
p-00195,u-0120,2024-01-12,ok
p-00196,u-0120,2024-01-23,ok
p-00197,u-0120,2024-01-14,ok
p-00198,u-0122,2024-01-11,ok
p-00199,u-0122,2023-12-06,ok
p-00200,u-0123,2024-02-27,ok
p-00201,u-0124,2024-01-22,ok
p-00202,u-0124,2024-02-14,ok
p-00203,u-0124,2024-02-13,ok
p-00204,u-0124,2024-02-16,ok
p-00205,u-0125,2024-02-25,ok
p-00206,u-0126,2024-02-16,failed
p-00207,u-0126,2023-12-20,ok
p-00208,u-0126,2023-12-06,ok
p-00209,u-0126,2024-01-26,ok
p-00210,u-0127,2024-02-23,failed
p-00211,u-0127,2024-02-18,ok
p-00212,u-0128,2023-12-18,ok
p-00213,u-0131,2024-01-02,failed
p-00214,u-0131,2024-02-06,ok
p-00215,u-0131,2024-02-08,ok
p-00216,u-0131,2024-01-11,ok
p-00217,u-0133,2023-12-28,ok
p-00218,u-0134,2023-12-24,ok
p-00219,u-0134,2023-12-06,ok
p-00220,u-0135,2024-02-17,ok
p-00221,u-0135,2024-02-15,ok
p-00222,u-0135,2024-02-07,ok
p-00223,u-0135,2023-12-14,ok
p-00224,u-0136,2023-12-23,failed
p-00225,u-0136,2023-12-07,ok
p-00226,u-0136,2023-12-12,ok
p-00227,u-0136,2023-12-06,ok
p-00228,u-0139,2023-12-07,ok
p-00229,u-0141,2024-03-01,ok
p-00230,u-0141,2023-12-21,ok
p-00231,u-0141,2023-12-08,ok
p-00232,u-0141,2024-01-04,ok
p-00233,u-0144,2023-12-15,ok
