ticket_id,user_id,created_date
t-00001,u-0001,2024-01-10
t-00002,u-0001,2023-12-31
t-00003,u-0002,2023-12-23
t-00004,u-0002,2024-01-15
t-00005,u-0002,2024-01-18
t-00006,u-0002,2023-12-12
t-00007,u-0002,2024-02-06
t-00008,u-0003,2024-02-27
t-00009,u-0003,2023-12-07
t-00010,u-0004,2024-01-20
t-00011,u-0004,2024-01-23
t-00012,u-0005,2024-01-19
t-00013,u-0006,2024-01-15
t-00014,u-0007,2024-01-25
t-00015,u-0008,2023-12-15
t-00016,u-0008,2024-03-02
t-00017,u-0010,2024-02-04
t-00018,u-0011,2023-12-07
t-00019,u-0011,2023-12-18
t-00020,u-0011,2023-12-19
t-00021,u-0014,2024-02-15
t-00022,u-0015,2024-01-13
t-00023,u-0016,2024-02-25
t-00024,u-0016,2024-02-25
t-00025,u-0017,2023-12-25
t-00026,u-0018,2023-12-14
t-00027,u-0019,2024-01-06
t-00028,u-0019,2024-01-09
t-00029,u-0020,2024-02-04
t-00030,u-0020,2024-02-04
t-00031,u-0020,2023-12-10
t-00032,u-0022,2023-12-10
t-00033,u-0022,2024-01-04
t-00034,u-0022,2024-02-20
t-00035,u-0022,2023-12-24
t-00036,u-0023,2024-02-04
t-00037,u-0024,2024-01-25
t-00038,u-0024,2024-02-26
t-00039,u-0024,2023-12-11
t-00040,u-0026,2023-12-25
t-00041,u-0027,2024-02-25
t-00042,u-0029,2024-02-01
t-00043,u-0030,2024-01-02
t-00044,u-0031,2024-01-03
t-00045,u-0032,2024-01-17
t-00046,u-0032,2024-01-19
t-00047,u-0033,2024-03-01
t-00048,u-0033,2024-02-27
t-00049,u-0034,2024-01-13
t-00050,u-0034,2023-12-12
t-00051,u-0034,2023-12-30
t-00052,u-0034,2023-12-19
t-00053,u-0034,2024-01-12
t-00054,u-0034,2024-01-24
t-00055,u-0036,2024-01-08
t-00056,u-0036,2024-01-07
t-00057,u-0037,2023-12-06
t-00058,u-0037,2023-12-07
t-00059,u-0037,2024-02-25
t-00060,u-0037,2024-01-21
t-00061,u-0037,2024-03-01
t-00062,u-0040,2024-01-13
t-00063,u-0040,2024-02-18
t-00064,u-0040,2024-02-10
t-00065,u-0042,2023-12-06
t-00066,u-0042,2024-01-16
t-00067,u-0043,2024-02-06
t-00068,u-0043,2024-02-05
t-00069,u-0044,2024-02-22
t-00070,u-0044,2024-02-27
t-00071,u-0044,2024-01-25
t-00072,u-0044,2024-02-12
t-00073,u-0044,2024-01-13
t-00074,u-0045,2024-02-06
t-00075,u-0045,2024-02-12
t-00076,u-0045,2024-01-24
t-00077,u-0046,2024-02-22
t-00078,u-0046,2024-01-22
t-00079,u-0048,2023-12-09
t-00080,u-0049,2024-01-24
t-00081,u-0049,2024-02-15
t-00082,u-0049,2024-01-05
t-00083,u-0049,2024-01-28
t-00084,u-0050,2023-12-04
t-00085,u-0052,2023-12-21
t-00086,u-0052,2023-12-25
t-00087,u-0054,2024-01-05
t-00088,u-0054,2023-12-05
t-00089,u-0055,2024-01-17
t-00090,u-0056,2023-12-29
t-00091,u-0056,2023-12-29
t-00092,u-0057,2023-12-21
t-00093,u-0057,2023-12-12
t-00094,u-0057,2024-02-14
t-00095,u-0058,2023-12-20
t-00096,u-0059,2024-01-30
t-00097,u-0060,2024-01-01
t-00098,u-0060,2024-01-07
t-00099,u-0060,2024-01-25
t-00100,u-0060,2023-12-28
t-00101,u-0061,2024-02-24
t-00102,u-0062,2023-12-13
t-00103,u-0062,2024-01-31
t-00104,u-0062,2023-12-12
t-00105,u-0062,2023-12-29
t-00106,u-0062,2024-01-05
t-00107,u-0063,2023-12-04
t-00108,u-0063,2024-02-19
t-00109,u-0063,2024-02-15
t-00110,u-0063,2024-01-19
t-00111,u-0064,2023-12-08
t-00112,u-0064,2024-03-01
t-00113,u-0064,2023-12-28
t-00114,u-0064,2024-02-23
t-00115,u-0066,2023-12-23
t-00116,u-0067,2024-01-14
t-00117,u-0067,2024-02-22
t-00118,u-0067,2024-02-18
t-00119,u-0067,2024-01-30
