order_id,customer_id,order_ts,status,amount
o-1003,c-01,2024-03-01T14:05:00,SHIPPED,99.99
o-1011,c-07,2024-03-02T09:05:00,paid,22.40
o-1012,c-04,2024-03-02T10:30:00,PAID,88.00
o-1013,c-02,2024-03-02T11:45:00,shipped,15.25
o-1014,c-08,2024-03-02T12:10:00,Cancelled,40.00
o-1015,c-05,2024-03-02T13:55:00,PAID,210.00
o-1016,c-01,2024-03-02T15:20:00,Paid,9.99
o-1017,c-09,2024-03-02T16:00:00,pending,5.00
o-1018,c-06,2024-03-02T17:35:00,SHIPPED,72.30
o-1019,c-03,2024-03-02T18:50:00,refunded,19.50
o-1020,c-10,2024-03-02T19:40:00,paid,120.00
o-1006,c-02,2024-03-01T18:22:00,CANCELLED,12.00
